NAME,name_simp,state_abbrev,state,region,latitude,longitude,pct_pop_change,pop_change,population,median_age_male,median_age_female,median_income,median_value,pct_white,pct_black,pct_foreign_born,pct_married_hh,per_capita_for_sale,pct_only_english,vehicles_per_hh,pct_poverty,pct_bachelors
"Des Moines-West Des Moines, IA Metro Area",Des Moines,IA,Iowa,Midwest,41.60054,-93.60911,0.09173146409186918,53288,606985,34.65,36.4,33416.5,164083.33333333334,0.872998234442916,0.04915497637228817,0.07654170476480747,0.9222303322246003,0.0040786290710094425,0.8262661625355926,1.175640533321286,0.10558525608815154,0.16524406149520443
"Springfield, MA Metro Area",Springfield,MA,Massachusetts,Northeast,42.1015,-72.5898,0.009391250314296194,5864,628292.1666666666,36.449999999999996,39.599999999999994,25665,216400,0.8173185351931546,0.07181558049028676,0.08729378290832318,0.9047414470065491,0.0029489995763648177,0.7441853617465123,1.0141117261070103,0.15656251218581166,0.11155319725191545
"Toledo, OH Metro Area",Toledo,OH,Ohio,Midwest,41.66394,-83.55521,-0.007904016329825724,-4817,607070.5,35.716666666666676,38.800000000000004,24929.666666666668,118400,0.7850625805953894,0.142376928764177,0.03380798990122783,0.9063497546780153,0.005091940172791573,0.8814698347775644,0.9901080833951663,0.17895532726429633,0.10168313784532987
"Provo-Orem, UT Metro Area",Provo,UT,Utah,West,40.23384,-111.65853,0.11458553419254877,61826,569325.8333333334,24.399999999999995,24.733333333333334,22628,240066.66666666666,0.9188004525820743,0.005896154955202864,0.07074156421849818,0.953733869055546,0.002326728542969682,0.7767505719484009,1.2560076568865963,0.12429232820689966,0.12681402418942872
"Augusta-Richmond County, GA-SC Metro Area",Augusta,GA,Georgia,South,33.47097,-81.97484,0.041688576656921106,23784,582524.3333333334,35.400000000000006,38.550000000000004,24465.166666666668,130433.33333333333,0.5858730937133956,0.35531763193869437,0.043806181487125284,0.911515303879808,0.007777929734551861,0.8741963855014926,1.0195642687057083,0.1828281279236976,0.10095658378791615
"Jackson, MS Metro Area",Jackson,MS,Mississippi,South,32.29876,-90.18481,0.014686621867136694,8399,576814.8333333334,34.23333333333333,36.95,25469.5,135000,0.4808741337847009,0.48814047488954426,0.02457287708447165,0.9076310581525093,0.00476727222398638,0.8968100392702568,1.0782384479875697,0.18530238906824228,0.116117852956278
"Palm Bay-Melbourne-Titusville, FL Metro Area",Palm Bay,FL,Florida,South,28.03446,-80.58866,0.057069604722294,31141,558970.5,45.13333333333333,48.03333333333333,25880.666666666668,152650,0.8307471801582851,0.10153308627199467,0.08668018556733614,0.9164269136011729,0.006664633166389521,0.8540650475591587,0.8811984530909188,0.13419253192550712,0.12548903147244206
"Harrisburg-Carlisle, PA Metro Area",Harrisburg,PA,Pennsylvania,Northeast,40.2737,-76.88442,0.028209715150681162,15580,559995.1666666666,38.800000000000004,41.583333333333336,31098.833333333332,173016.66666666666,0.815575193952567,0.1041616132996386,0.0597865279194374,0.9161609155540142,0.004523253325698347,0.8518665786103512,1.0371232432095967,0.10441637740325735,0.12867730108384864
"Durham-Chapel Hill, NC Metro Area",Durham,NC,North Carolina,South,35.99403,-78.89862,0.08067562180968192,41693,537862.1666666666,35.166666666666664,37.25000000000001,28988.333333333332,203933.33333333334,0.6199590167617293,0.26766646845396885,0.12161820887817296,0.9105544632324026,0.00454112624268981,0.7816187728392622,0.9635155328352341,0.15657264113203725,0.15605020245273496
"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",Scranton,PA,Pennsylvania,Northeast,41.40897,-75.66241,-0.011278602610784354,-6353,560398.3333333334,40.79999999999999,44.333333333333336,24928.5,134133.33333333334,0.9128286724621474,0.0342893001704145,0.05260157209603882,0.9089348807755361,0.006422217529792796,0.8601634551613584,0.9616818668734131,0.14469350670207798,0.10388711600974307
"Spokane-Spokane Valley, WA Metro Area",Spokane,WA,Washington,West,47.65966,-117.42908,0.04715623768388142,25007,541117.5,36.81666666666667,39.75,26268,188983.33333333334,0.8892166057587616,0.016616846926345324,0.05255543697379343,0.9163578481551992,0.004788855162387713,0.8724208081732094,0.8954236394976225,0.15104760056734443,0.11894582353493774
